title,description,location
AAPG Datapages,Digital publications via the American Association of Petroleum Geologists Foundation,https://archives.datapages.com
ABI/INFORM Collection,"<p>ABI/INFORM Collection indexes and abstracts articles covering all aspects of business worldwide. The complete article is provided for many titles. The Collection brings together resources appearing in ABI/INFORM Global &amp; (business information worldwide), ABI/INFORM Trade &amp; Industry, and ABI/INFORM Dateline (local &amp; regional business information). Previously known as ABI/INFORM Complete.</p>",https://search.proquest.com/abicomplete/advanced?accountid=14585
ABI/INFORM Dateline,"<p>Business, Economics: local and regional business publications. A local and regional business news coverage of large corporations, privately held companies, local start-ups, executive profiles, marketing, finance, and industry news. Contains news and analysis, information on local markets, and more gathered from major business tabloids, magazines, daily newspapers, wire services, and city, state, and regional business publications.</p>",https://search.proquest.com/abidateline/advanced?accountid=14585
ABI/INFORM Global,"Business, Finance, Economics: journals, company profiles, Wall Street Journal. Coverage of business research topics, business and economic conditions, management techniques, theory, and practice of business, advertising, marketing, economics, human resources, finance, taxation, computers. Also, contains business and executive profiles.",https://search.proquest.com/abiglobal/advanced?accountid=14585
ABI/INFORM Trade &amp;amp; Industry,"Business, Economics: trade and industry periodicals and newsletters. Business periodicals and newsletters with a trade or industry focus. Coverage of industry news, product and competitive information, and marketing trends. Contains publications on major industry, including finance, insurance, transportation, and construction.",https://search.proquest.com/abitrade/advanced?accountid=14585
Gale Academic OneFile,"Gale Academic OneFile connects learners to the information they&amp;rsquo;re looking for with tools that make discovery fast and easy. This premier periodical resource provides millions of articles from scholarly journals and other authoritative sources with extensive coverage in key subject areas, such as biology, chemistry, criminal justice, economics, environmental science, history, marketing, political science, and psychology. Includes full-text coverage of the New York Times back to 1995.",https://infotrac.galegroup.com/itweb/miami_richter?db=AONE
Academic Search Premier,"<p>Academic Search Premier is a multi-disciplinary full text database containing full text for nearly 4,500 journals, including more than 3,600 peer-reviewed titles.</p>","https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=aph"
Access World News,"Provides full-text information and perspectives from over 1400 U.S. and over 1200 international sources. Each source has its own distinctive focus offering diverse viewpoints on local, regional and world issues.",https://infoweb.newsbank.com/iw-search/we/InfoWeb?p_product=AWNB&amp;p_theme=aggregated5&amp;p_action=explore&amp;d_loc=world
ACM Digital Library,Full-text access to a variety of journals and conference proceedings published by the Association for Computing Machinery. Note: The Richter Library subscription does not include full text access to the ACM Proceeding and SIG newsletter articles.,https://dl.acm.org/dl.cfm
Ad*Access,"Ad*Access presents images and database information for over 7,000 advertisements printed in U.S. and Canadian newspapers and magazines covering five product categories - Beauty and Hygiene, Radio, Television, Transportation, and World War II propaganda - dated between 1911 and 1955.",https://repository.duke.edu/dc/adaccess
AES Electronic Library,"<p>Contains all of the Audio Engineering Society papers from the journal, conventions, and conferences, providing access to over 16,000 fully searchable PDF files documenting the progression of audio research from 1953 to the present day. Includes AES Publications Convention Preprints Timely technical papers, reproduced directly from the manuscripts of presentations given at recent AES conventions. Anthologies Renowned series of collected papers of archival quality reprinted from the AES Journal including: loudspeakers, disk recording, microphones, sound reinforcement, and time delay spectrometry. Collected papers from the highly regarded AES international conferences, each devoted to a specific topic. AES Standards, Drafts, and Information Documents Internationally approved documents developed under the auspices of the AES Standards Committee and its working groups. Directory of Educational Programs A comprehensive international guide to educational programs in audio.</p>",https://www.aes.org/e-lib/inst
African American Newspapers Accessible Archive: The 19th Century,African-American Newspapers: The 19th Century provides first-hand reports of the cultural life and history of African-Americans in the United States.,http://www.accessible.com/accessible/preLog?Search=African%20American%20Newspapers
