response_id,classification,stage,stage_bin,reasons_for_stage_number,has_reasons,primary_theme,secondary_theme,tertiary_theme,total_methods,field_studies,diary_camera_studies,user_interviews,requirements_and_constraints,competitive_analysis,persona_building,task_analysis,journey_maps,prototype_testing,user_stories,card_sorting,design_review,usability_testing,benchmark_testing,accessibility_evaluation,user_surveys,analytics_review,search_log_analysis,usability_bug_review,faq_review,themes,is_certif_yes,is_certif_no,is_growth_no,is_growth_yes,is_horziin_no,is_horziin_yes,is_resourc_no,is_resourc_yes,is_strateg_no,is_strateg_yes,is_uxgroup_no,is_uxgroup_yes,is_uxperso_no,is_uxperso_yes,is_vertcoo_no,is_vertcoo_yes
R_UYkOkIXA3s1ZJhD,"Four-year, large",2,1-2,"We still have a long way to go and we are just at the beginning stages of becoming a user-centered organization.  Many people are skeptical of the value of ux research and they don't understand or don't want to understand the importance of how a person feels when he or she is interacting with one of our products, services, or spaces.  This could be partially be my fault. 

Maybe I haven't done a good enough job of changing this way of thinking.  Also, for some, quantitative data is all that matters ( I do employ mixed-use methods most of the time).

As the ux librarian, I am on my own and have to enlist help when needed (which is not easy to do).  I think we need a team of people dedicated to ux.",1,ux_group_no; horizontally_integrated_no; vertically_coordinated_no,ux_person_yes,,8,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,ux_group_no horizontally_integrated_no vertically_coordinated_no ux_person_yes,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
R_Dj9D1Wz98E67MFb,"Four-year, large",5,5-6,,0,,,,9,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,,
R_V4NC7XLzf6kjxMl,"Four-year, large",4,3-4,"UX is part of a few position descriptions, but there is no one officially in charge of UX and no budget line although funds have been allocated (very small amount) to buy treats.",1,vertically_coordinated_no,ux_person_no,,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,vertically_coordinated_no ux_person_no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
R_1jxCqsJTsOLfrtl,"Four-year, large",3,3-4,"Most UX activities are initiated by a single manager and around a limited set of web services. There is a dedicated usability testing group. All other activities - from research, design, prototyping, and other benchmark testing are at this stage largely ad hoc.",1,ux_group_yes; ux_person_yes; vertically_coordinated_no; horizontally_integrated_no;,,,9,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,ux_group_yes ux_person_yes vertically_coordinated_no horizontally_integrated_no,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
R_8i7EFYAOuaAlmdb,"Four-year, large",3,3-4,"I was at a Stage 5 organization, and now I'm back in a Stage 3 organization, but with the UX title. I don't have a budget or staff, but I'm at least recognized as the UX coordinator!",1,ux_person_yes; resources_no;,,,15,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,ux_person_yes resources_no,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
R_4YnExQxKZPRRVwR,"Four-year, medium",3,3-4,,0,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,
R_1dFE6hlJaIYGCFb,University outside US,3,3-4,,0,,,,7,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,
R_1r2ZDTqj0Y2Tw9x,"Four-year, large",1,1-2,They hired me as a UX Librarian but had no idea what UX was and no intention of improving the UX (there's a long story behind that). I faced nothing but hostility towards UX and my work throughout my entire tenure.,1,vertically_coordinated_no,ux_group_no; ux_person_yes,,7,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,vertically_coordinated_no ux_group_no ux_person_yes,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
R_SIQXyMpCu2bw6OZ,"Four-year, small",3,3-4,This is the best match for UX at my institution. But really it's more individual led (by me) and others at least realize/aspire that we should design for users and gauge their needs.,1,ux_person_yes; horizontally_integrated_no,,,6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,ux_person_yes horizontally_integrated_no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
R_3QXzxxye24l3v0A,"Four-year, large",5,5-6,I am the UX Designer here for the library. It is my job to think from a user's viewpoint and design accordingly. I also chair a Web Working Group which focuses on improving our website from a usability standpoint.,1,ux_person_yes; ux_group_yes;,,,8,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,ux_person_yes ux_group_yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
R_a5g9H85DM9utyz7,"Four-year, large",4,3-4,"My organization does have a budget dedicated for UX, a user experience group, and a usability working group. However, there does not seem to be a coordinated charter for integrated user experience and user-driven design across library services - there is a disconnected set of small-group efforts that are only loosely connected by virtue of existing within the library.",1,vertically_coordinated_no,ux_group_no,,13,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,vertically_coordinated_no ux_group_no,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
R_0eSDZRPkv77AGLD,"Four-year, large",6,5-6,,0,,,,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
R_AG8oWtkdY5z9FAZ,"Four-year, large",2,1-2,,0,,,,7,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,
R_x468T3u0Fa8vnz3,"Four-year, large",8,7-8,,0,,,,14,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,
R_2fKdmjkilIGYFTf,"Four-year, large",3,3-4,"We're between 3 and 4. It's kind of tricky, because we had a staff member dedicated to UX who attempted to initiate a UX group. Since their departure, we've dropped back to 3. However, we're reorganizing and will have a UX department in the coming year.",1,ux_group_no; ux_person_no; vertically_coordinated_yes,,,11,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,ux_group_no ux_person_no vertically_coordinated_yes,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
R_3MAv0IhPNjETOqo,"Four-year, large",3,3-4,"Large portion of library faculty and staff understand the need for ongoing UX efforts, and many of them have volunteered to help with UX work.



Library administration, on the other hand, does not understand the need or value of UX work. The libraries' usability group was officially disbanded this past year.",1,vertically_coordinated_no; ux_group_no; growth_no,,,14,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,vertically_coordinated_no ux_group_no growth_no,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
R_2ymaNTsdN8HkQVr,"Four-year, large",4,3-4,"UX work is often completed as a collaboration between Library Assessment and Library IT, two separate departments within two separate divisions.  The personnel costs associated with planning and performing UX work come out of both budgets, but the material costs (iPads, incentives, etc.) are budgeted as Library Assessment anticipated costs.",1,horizontally_integrated_yes,ux_group_yes,,8,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,horizontally_integrated_yes ux_group_yes,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
R_ZmmGvYa629aPA1H,"Two-year, very large",3,3-4,"100% Skunkworks. I'm a self-taught designer/developer and ""just fixed it"" (the library website) one day. Now it's my main job duty even though it's not in my title, my job description (definitely not my salary range), and I don't have any type budget let alone the dev tools I need to do this kind of work. The library itself has recognized how important this is, and we have an ad-hoc task force that tackles these issues, but the college is not involved.",1,resources_no; ux_group_yes; growth_yes; resources_no,,,9,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,resources_no ux_group_yes growth_yes resources_no,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
